poster_number,number_recommend,avg_node_distance,avg_node_distance_kw,avg_node_distance_wv,avg_node_distance_cv,avg_node_distance_le,avg_random
1661,9,1.2,1.6,1.8,1.1,1.0,2.7
1661,10,1.2,1.6,1.8,0.9,1.0,2.6
3832,1,2.6,2.7,2.6,2.7,2.6,2.9
3832,2,2.4,3.0,1.8,2.0,2.4,2.9
3832,3,2.4,3.0,2.4,1.4,1.8,3.0
3832,4,2.7,2.7,2.7,2.0,2.7,2.8
3832,5,2.7,2.7,2.1,2.0,2.7,3.0
3832,6,2.7,2.7,2.1,2.0,2.7,3.0
3832,7,2.4,2.7,2.1,2.0,2.7,3.0
3832,8,2.1,2.7,2.4,1.8,2.4,3.0
3832,9,1.5,3.0,2.1,1.5,1.8,3.0
3832,10,1.8,3.0,1.8,0.9,2.4,3.0
10824,1,1.4,1.7,1.1,1.8,1.3,2.8
10824,2,0.3,1.5,0.7,1.6,0.3,3.0
10824,3,0.3,1.2,1.2,1.0,0.3,2.8
10824,4,0.4,1.6,0.6,0.9,0.1,2.9
10824,5,0.8,1.8,1.7,1.2,0.6,3.0
10824,6,0.8,1.6,1.3,0.9,0.5,2.9
10824,7,0.5,1.7,1.0,1.2,0.2,2.8
10824,8,0.6,1.8,0.9,0.7,0.2,3.0
10824,9,0.8,1.7,0.6,0.8,0.4,3.0
10824,10,0.8,1.7,0.6,1.0,0.4,3.0
13733,1,1.8,1.9,1.7,2.0,1.8,2.9
13733,2,1.4,1.9,1.8,1.9,1.3,2.9
13733,3,1.1,2.8,1.5,1.2,1.2,2.9
13733,4,1.0,2.3,1.3,1.3,1.1,2.7
13733,5,1.3,1.8,1.6,1.4,1.7,2.9
13733,6,1.2,1.9,1.6,1.6,1.2,2.6
13733,7,1.2,1.5,1.7,1.4,1.2,3.0
13733,8,1.2,2.0,1.7,1.7,1.4,2.9
13733,9,1.5,2.1,1.6,1.6,1.6,2.7
13733,10,1.2,2.8,1.4,1.7,1.4,2.8
3886,1,1.9,2.5,2.2,2.2,1.5,2.6
3886,2,2.0,2.6,2.2,1.6,1.3,2.4
3886,3,0.6,1.9,0.8,1.3,0.5,2.8
3886,4,0.6,1.9,1.5,1.5,0.3,2.8
3886,5,0.4,2.4,1.9,1.0,0.0,2.5
3886,6,0.4,2.3,1.8,0.9,0.0,2.7
3886,7,0.3,2.3,1.6,1.0,0.1,2.8
3886,8,0.3,2.3,1.5,1.6,0.3,2.6
3886,9,0.2,2.3,1.3,1.6,0.5,2.6
3886,10,0.2,2.3,1.2,1.4,0.2,2.5
7241,1,2.4,2.7,2.7,2.6,2.6,3.0
7241,2,2.1,2.4,2.1,2.4,2.0,2.9
7241,3,2.1,3.0,2.4,2.1,2.1,3.0
7241,4,1.6,3.0,2.4,2.1,1.8,3.0
7241,5,1.3,2.7,1.9,1.8,1.5,3.0
7241,6,1.1,3.0,1.8,1.5,1.5,3.0
7241,7,1.0,3.0,1.8,1.1,1.5,2.9
