poster_number,avg_node_distance,avg_node_distance_kw,avg_random,number_recommend
2492,0.7,2.2,2.6,3
2492,1.1,2.9,2.9,4
2492,0.5,2.7,3.0,5
7120,0.5,1.2,2.4,1
7120,0.1,1.5,2.7,2
7120,0.2,1.3,2.7,3
7120,0.1,1.8,2.7,4
7120,0.1,1.6,3.0,5
6937,1.6,2.9,2.9,1
6937,1.9,2.5,3.0,2
6937,1.1,2.9,2.8,3
6937,1.0,2.9,2.6,4
6937,1.3,2.8,3.0,5
12925,1.5,2.7,3.0,1
12925,0.9,2.7,3.0,2
12925,0.6,3.0,2.9,3
12925,0.2,3.0,3.0,4
12925,0.6,3.0,2.8,5
1203,1.4,3.0,3.0,1
1203,0.9,2.3,3.0,2
1203,0.7,2.5,3.0,3
1203,0.4,2.8,2.8,4
1203,0.5,2.5,3.0,5
12690,1.4,3.0,2.8,1
12690,1.0,2.8,2.9,2
12690,1.6,2.9,2.9,3
12690,1.5,2.7,2.8,4
12690,1.2,2.6,2.5,5
6382,1.7,2.0,2.5,1
6382,1.1,1.7,2.7,2
6382,1.2,1.4,3.0,3
6382,0.4,0.2,2.8,4
6382,0.4,0.8,2.9,5
5385,1.7,2.0,2.9,1
5385,1.8,2.1,2.8,2
5385,2.1,2.2,3.0,3
5385,1.8,2.2,3.0,4
5385,1.8,2.5,2.8,5
9801,2.1,2.7,2.7,1
9801,1.6,2.8,2.2,2
9801,2.2,2.6,2.8,3
9801,1.7,3.0,2.5,4
9801,1.9,2.7,2.8,5
948,1.3,2.5,2.6,1
948,0.5,1.6,2.8,2
948,0.6,1.7,3.0,3
948,0.9,1.7,3.0,4
948,1.0,1.9,2.9,5
7511,1.3,2.6,2.9,1
7511,0.7,1.2,2.4,2
7511,1.3,1.2,2.3,3
7511,0.7,1.2,3.0,4
7511,0.5,1.2,2.6,5
8156,2.4,2.0,2.9,1
8156,2.0,2.3,2.7,2
8156,1.8,2.5,2.8,3
8156,1.8,2.3,2.9,4
8156,1.8,2.1,2.7,5
15,1.2,2.9,2.7,1
15,0.9,1.9,2.9,2
15,0.2,1.2,2.5,3
15,0.2,0.9,2.9,4
15,0.2,1.0,2.8,5
12415,3.0,2.8,2.5,1
12415,2.4,2.7,2.5,2
12415,2.2,1.3,2.8,3
12415,1.9,2.1,2.6,4
12415,1.6,2.6,2.9,5
2300,1.0,1.3,2.7,1
2300,1.2,1.7,2.6,2
2300,1.1,1.3,2.5,3
2300,1.0,1.5,2.7,4
2300,1.6,1.0,2.6,5
11953,2.4,2.2,2.9,1
11953,2.6,2.5,2.5,2
11953,2.2,2.6,2.7,3
11953,2.0,2.4,2.6,4
11953,2.2,2.6,2.4,5
5812,2.6,2.4,3.0,1
5812,1.3,2.3,3.0,2
5812,0.7,1.6,2.9,3
5812,0.7,2.4,2.9,4
5812,0.7,2.5,3.0,5
10656,1.5,2.9,2.4,1
10656,1.3,3.0,2.6,2
10656,0.6,3.0,2.8,3
10656,0.6,2.8,2.6,4
10656,0.3,2.8,2.9,5
1118,1.7,0.9,2.6,1
1118,1.7,0.9,2.4,2
1118,1.0,0.9,2.7,3
1118,0.7,0.9,2.8,4
1118,0.8,2.2,2.9,5
14348,1.9,2.4,2.8,1
14348,0.9,1.5,2.6,2
14348,0.9,1.8,3.0,3
14348,0.5,1.9,3.0,4
14348,0.7,2.0,2.9,5
9759,2.8,2.6,2.9,1
9759,2.4,3.0,3.0,2
9759,2.4,3.0,2.9,3
9759,2.4,3.0,3.0,4
9759,2.4,2.7,2.8,5
3862,2.0,2.7,2.4,1
3862,1.7,2.0,2.3,2
3862,1.5,1.5,2.7,3
3862,1.3,2.0,2.8,4
3862,1.1,2.2,2.6,5
6295,2.4,2.6,2.5,1
6295,1.3,2.9,2.9,2
6295,1.9,2.9,2.6,3
6295,2.1,2.9,2.7,4
6295,2.5,2.8,2.6,5
4909,1.8,1.2,2.9,1
4909,2.0,2.3,3.0,2
4909,1.5,2.1,2.9,3
4909,2.1,2.3,2.7,4
4909,2.0,2.5,2.9,5
3151,0.6,3.0,3.0,1
3151,1.6,3.0,3.0,2
3151,0.8,2.7,3.0,3
3151,0.8,3.0,2.7,4
3151,0.8,3.0,3.0,5
6765,1.5,2.9,2.7,1
6765,0.9,1.2,2.8,2
6765,0.8,1.2,2.8,3
6765,0.8,1.4,2.8,4
6765,0.8,1.4,2.6,5
14102,1.2,1.4,3.0,1
14102,2.1,1.6,3.0,2
14102,1.1,0.8,3.0,3
14102,1.4,1.0,2.8,4
14102,0.9,1.4,3.0,5
3814,2.1,0.7,2.8,1
3814,1.7,2.2,2.6,2
3814,1.7,2.8,2.6,3
3814,1.3,2.6,2.6,4
3814,0.9,2.5,2.9,5
4437,1.2,2.7,2.6,1
4437,0.6,2.3,2.5,2
4437,0.0,1.8,2.7,3
4437,0.0,2.2,2.9,4
4437,0.1,2.6,2.8,5
