poster_number,distance,n_components
10807,0.6,50
9907,2.6,50
8653,1.7,50
3645,3.0,50
7988,2.7,50
597,1.3,50
1542,2.1,50
1062,2.3,75
13999,1.0,75
9472,1.5,75
1437,2.5,75
13298,0.8,75
13,1.8,75
996,1.6,75
6699,2.1,75
14198,2.0,75
11783,3.0,75
165,2.8,75
7085,2.5,75
11758,2.7,75
14460,1.6,75
11385,2.6,75
8200,1.9,75
4194,1.2,75
11686,1.0,75
3905,1.1,75
3542,1.5,75
9180,2.6,75
5121,1.7,75
3529,0.5,75
3181,2.2,75
9512,0.8,75
7903,1.8,75
1777,2.0,75
6623,2.8,75
3330,0.7,75
3788,1.8,75
9079,1.3,75
10718,1.8,75
5376,1.4,75
12826,1.0,75
5572,1.9,75
5418,1.9,75
4133,2.8,75
8719,2.4,75
6150,0.6,75
11868,1.6,75
182,2.9,75
8814,2.4,75
2882,0.2,75
3127,2.1,75
13721,1.8,75
8031,3.0,75
4774,0.7,75
2472,1.1,75
12912,2.3,75
5328,0.8,75
10510,2.2,75
11680,2.2,75
8774,2.2,75
8601,2.7,75
12664,1.5,75
10108,1.2,75
9799,2.7,75
11078,2.5,75
1824,1.6,75
9346,2.0,75
1461,1.3,75
12688,2.0,75
12748,2.3,75
2470,2.6,75
9583,2.5,75
2029,2.8,75
3586,1.3,75
10423,1.7,75
10431,1.4,75
6717,2.8,75
13849,1.8,75
4365,2.9,75
197,0.7,75
10018,1.4,75
2816,1.3,75
6582,3.0,75
13068,2.1,75
8258,1.5,75
3718,2.6,75
6007,1.2,75
3129,1.8,75
10690,1.3,75
2049,2.1,75
9439,0.6,75
1620,1.2,75
1662,1.2,75
7473,3.0,75
2062,2.1,75
9858,3.0,75
9759,2.7,75
6591,2.1,75
5969,1.9,75
6301,2.5,75
897,1.8,75
2372,1.4,75
9576,1.7,75
6728,1.5,75
12333,2.5,75
3729,1.6,75
14112,0.6,75
1139,1.6,75
11243,1.9,75
6854,2.8,75
2026,2.5,75
680,0.7,75
13869,2.4,75
13924,0.9,75
7465,2.7,75
13717,1.8,75
2945,1.1,75
4588,1.2,75
5001,2.4,75
856,1.3,75
3641,2.3,75
2067,1.7,75
9200,1.4,75
10315,2.1,75
10818,2.5,75
5326,2.6,75
11399,1.7,75
11251,2.9,75
9248,2.0,75
14615,1.4,75
5564,1.6,75
10589,1.7,75
5156,1.0,75
10499,2.1,75
2264,1.3,75
4496,2.0,75
2144,1.3,75
14046,1.9,75
3778,2.5,75
6179,2.3,75
351,2.0,75
1668,2.7,75
12994,2.4,75
11586,0.9,75
6238,0.5,75
424,2.3,75
3837,1.8,75
13789,1.7,75
9370,2.7,75
9140,1.8,75
11574,2.6,75
6884,2.2,75
2799,2.9,75
13282,1.8,75
11978,1.6,75
6741,2.1,75
1438,0.9,75
85,1.9,75
10399,2.3,75
10696,2.4,75
5711,1.8,75
8924,2.6,75
1915,2.3,75
11206,2.4,75
1599,2.0,75
14314,1.1,75
719,1.6,75
2244,0.8,75
12514,2.1,75
13603,2.2,75
2700,2.7,75
12943,1.9,75
5096,2.5,75
184,1.0,75
6129,2.2,75
202,0.6,75
13307,2.3,75
3052,2.3,75
12527,0.8,75
1829,2.2,75
8267,1.1,75
5361,2.1,75
7237,3.0,75
13464,2.1,75
6001,0.9,75
10022,1.3,75
1938,2.1,75
13176,2.1,75
2100,2.4,75
9248,2.0,75
209,0.6,75
8848,1.7,75
3493,0.8,75
8118,1.9,75
10850,3.0,75
4439,1.9,75
8362,0.8,75
